,식품명,energy,protein,calcium,phosphorus,iron,niacin,folate,vitaC,thiamin,riboflavin
0,꿩불고기,368.8,33.5,105.61,458.05,0.004,3.61,63.13,2.99,0,0.33
1,닭갈비,595.61,45.9,98.64,505.25,0.00338,1.23,108.13,5.54,0.24,0.37
2,닭꼬치,176.72,11.56,17.68,122.8,0.00764,1.71,0,0,0.23,0.18
3,더덕구이,184,3.1,46.42,88.17,0.00143,0.18,16.77,1.34,0.23,0.08
4,도미구이,397,61.1,158.8,690.91,0.00097,6.35,37.98,0.84,0.1,0.27
5,돼지갈비,240.32,19.5,47.21,156.16,0.00092,0.17,5.37,0,0.31,0.14
6,병어구이,488,54.6,80.44,627.82,0.00075,4.38,38.25,1.41,0.12,0.21
7,불고기,395.29,34.4,12.31,300.71,0.00363,2.26,10.23,0,0.08,0.24
8,붕장어소금구이,296.54,26,164.09,345.83,0.00024,0.47,12.64,0,0,0.11
9,소양념갈비구이,989.15,60.1,85.27,412.97,0.00634,0.49,27.81,0.27,0.25,0.37
10,양념왕갈비,480.81,27.1,31.21,174.75,0.00293,0.26,9.3,0,0,0.1
11,양념장어구이,433.35,30.77,215.4,381.33,0.00895,7.23,0,0.19,0.46,0.68
12,임연수구이,494,53.8,267.44,754.08,0.00193,4.82,24.87,0.69,0.15,0.54
13,짚불구이곰장어,326.21,42.7,29.52,371.67,0.00594,0,83.67,1.6,0,0.8
14,햄버그스테이크,457.7,26.96,82.51,365.08,0.00253,5.97,0,2.77,0.62,0.26
15,황태구이,437.57,47.8,280.1,425.07,0.00209,0.04,19.3,0,0.06,0.18
16,훈제오리,797.14,43.06,38.49,623.67,0.00417,8.35,0,47.71,0.6,0.6
17,게국지,415.25,44.9,1320.57,695.81,0.00968,0,166.89,0,0,0.62
18,곰치국,419.29,54.3,711.95,1028.2,0.00254,1.04,79.56,1.96,0.51,0.51
19,굴국밥,683,42.4,194.25,666.49,0.01271,2.68,150.06,0,0.32,0.61
20,김치국,89,5.4,113.75,116.81,0.00155,0,33.74,1.78,0.28,0.15
21,떡만둣국,624.92,20.06,99.72,250.25,0.02118,4.59,0,0,0.6,1.03
22,만둣국,434.05,21.43,123.61,221.43,0.02644,6.51,0,0,1.31,0.7
23,맑은감자국,221,8.3,115.56,159.83,0.00226,0.83,66.29,7.24,0.55,0.15
24,매생이국,119,10,125.77,101.15,0.01757,2,33.09,3.01,0.18,0.14
25,무된장국,104,6.1,90.18,127.35,0.00135,1.28,32.02,0,0.22,0.12
26,미소된장국,38,2.8,27.34,39.03,0.00053,0.37,5.09,0.58,0.07,0.03
27,바지락조개국,157,22,369.14,266.75,0.02135,1.32,48.61,0.55,0.04,0.17
28,뼈다귀해장국,714,74.6,670.27,671.55,0.00706,5.72,91.69,19.87,1.24,0.92
29,선지해장국,312,49.3,206.72,238.15,0.07857,0.93,72.94,10.02,0.72,0.32
30,소고기무국,123,14.2,59.21,108.32,0.00159,1.32,32,0,0.09,0.07
31,소고기미역국,151,18.1,149.32,139.44,0.00304,1.48,35.95,0,0.12,0.15
32,순대국,540.3,43.52,105.32,311.97,0.07289,7.31,0,0,0.48,0.82
33,시래기된장국,99,6.7,213.27,128.65,0.00263,1.03,30.85,0,0.3,0.1
34,올갱이국,144.26,13.7,391.17,202.74,0.01397,2.31,84.83,0,0,0.13
35,우거지해장국,154.38,11.9,198.55,187.07,0.00249,0.23,56.84,0,0.17,0.13
36,우렁된장국,245,24.6,656.62,362.38,0.00634,1.09,80.94,0.19,0.23,0.14
37,탕국,92.15,13.18,76.47,114.18,0.00167,0.86,13.6,0,0.11,0.18
38,홍합미역국,167,19.7,227.69,375.32,0.01033,0.49,66.38,1.44,0.12,0.31
39,황태해장국,181.7,24.5,164.63,251.27,0.00141,0.1,48.85,0,0.06,0.13
40,고추잡채,256.77,10.99,32.84,108.74,0.02455,2.03,0,8.88,0.16,0.19
41,난자완스,346.25,21.63,33.73,186.89,0.02278,4.01,0,0,0.19,0.47
42,도토리묵말이,462.39,6.8,164.34,115.24,0.00352,0,58.09,0,0,0.08
43,라조기,398.99,20.66,72.17,214.25,0.02169,4.38,0,0,0.08,0.45
44,물회,529.36,34.4,212.11,463.43,0.00188,10.91,51.12,3.04,0.42,0.22
45,생선물회,577.97,34.3,185.95,474.27,0.00258,2,70.86,16.04,0.16,0.2
46,소고기샤브샤브,263.75,29.1,95.99,254.18,0.00314,2.35,114.41,0,0.24,0.22
47,오징어순대,466.86,45.7,78.43,603,0.00104,0,47.89,0,0,0.05
48,초당순두부,522.69,49.1,333.22,883.4,0.00664,1.63,55.31,0,0.09,0.15
49,해파리냉채,91,6.2,44.36,74.66,0.00084,0.13,11.78,0.09,0.1,0.04
50,고들빼기,55.53,1.58,25.64,24.85,0.00191,0.53,0,0,0.04,0.06
51,열무얼갈이김치,17.68,1.07,39.42,20.6,0.00109,0.27,0,0,0.07,0.05
52,미나리나물,29.53,1.02,38.84,27.45,0.00028,0,24.2,0,0,0.03
53,취나물,74.1,1.37,74.62,21.6,0.00057,0,4.68,0.32,0,0.03
54,콩나물,25.34,1.68,18.5,27.76,0.00028,0,17.47,0,0,0.03
55,경단(깨),319.47,4.44,62.25,65.9,0.00087,0,16.01,0,0,0.01
56,경단(콩),314.32,3.51,10.41,44.16,0.00053,0.43,11.22,0,0,0.01
57,기피편,219.97,5.45,12.33,66.56,0.0005,0.39,16.44,0,0.05,0
58,녹두시루떡,246.07,7.74,25.81,110.21,0.00103,0.37,43.39,0,0.13,0.02
